1154902388.412727
 1154902388.412740 0.00001300
1154902776.999778 1154902776.999790 0.000012
1154902787.909940 1154902787.909951 0.000011
1154907156.984241 1154907156.984241 0.000000
1154907539.437464 1154907539.437477 0.000013
1154907539.437464 1154907539.437477 0.000013
1154908019.592128 1154908019.592139 0.000011
1154911719.996284 1154911719.996294 0.000010
1154918690.997409 1154918690.997419 0.000010
1154921556.997889 1154921556.997900 0.000011
1154922251.999339 1154922251.999351 0.000012
1154922353.996631 1154922353.996642 0.000011
1154929537.997903 1154929537.997915 0.000012
1154931643.009146 1154931643.009159 0.000013
1154931740.998061 1154931740.998072 0.000011
1154931924.997626 1154931924.997639 0.000013
1154936725.432494 1154936725.432506 0.000012
1154938006.930795 1154938006.930808 0.000013
1154950534.994612 1154950534.994624 0.000012
1154951961.999170 1154951961.999182 0.000012
1154957263.999868 1154957263.999882 0.000014
1154961103.653476 1154961103.653491 0.000015
1154963694.996787 1154963694.996801 0.000014
1154967788.536573 1154967788.536587 0.000014
1154969323.980896 1154969323.980911 0.000015
1154969642.997518 1154969642.997569 0.000051
1154969973.997950 1154969973.997966 0.000016
1154974093.997662 1154974093.997676 0.000014
1154974803.996831 1154974803.996846 0.000015
1154978095.039414 1154978095.039427 0.000013
1154979273.281049 1154979273.281062 0.000013
1154984863.995148 1154984863.995076 0.000072
1154987609.759910 1154987609.759923 0.000013
1154988859.995256 1154988859.995268 0.000012
1154994421.356386 1154994421.356398 0.000012
